,corr_spearman
US_Stock_GOLD_adj_volume,-0.16543803528073375
US_Stock_BP_adj_open,-0.11967312260104074
US_Stock_BP_adj_high,-0.1187432320044839
US_Stock_BP_adj_low,-0.11862963670760389
US_Stock_BP_adj_close,-0.11720607773609369
FX_EURCAD,0.11639446817888262
US_Stock_OXY_adj_high,-0.11563892397089932
US_Stock_OXY_adj_low,-0.11546268658187384
US_Stock_OXY_adj_open,-0.11542593231952789
US_Stock_OXY_adj_close,-0.11450552533569512
US_Stock_CVE_adj_low,-0.11046015841920791
US_Stock_CVE_adj_open,-0.10994390658192657
US_Stock_CVE_adj_high,-0.10970596591567897
US_Stock_CVX_adj_open,-0.10930929697768818
US_Stock_CVE_adj_close,-0.10886703266037819
US_Stock_CVX_adj_low,-0.10838379936940959
US_Stock_CVX_adj_close,-0.10739390226560501
US_Stock_CVX_adj_high,-0.10705217663820778
US_Stock_HAL_adj_volume,0.10564527901011268
US_Stock_SLB_adj_open,-0.10450013157950769
US_Stock_OIH_adj_open,-0.10430990373769954
US_Stock_SLB_adj_low,-0.10367959429956534
US_Stock_OIH_adj_high,-0.10342997060947308
US_Stock_SLB_adj_high,-0.10301626460626213
US_Stock_OIH_adj_low,-0.1025182088674688
US_Stock_SLB_adj_close,-0.10210490891173216
US_Stock_OIH_adj_close,-0.10143753749987448
US_Stock_FNV_adj_volume,0.09998870568436079
FX_NOKJPY,-0.0989768802832924
US_Stock_HAL_adj_open,-0.09870341482305948
US_Stock_HAL_adj_low,-0.09807965486073122
US_Stock_HAL_adj_high,-0.0970335624425983
US_Stock_EOG_adj_low,-0.09625480100760501
US_Stock_HAL_adj_close,-0.09624092649238816
FX_GBPCAD,0.09587323359622012
US_Stock_EOG_adj_open,-0.09537900574874174
US_Stock_EOG_adj_close,-0.09533970921238184
US_Stock_DVN_adj_low,-0.09523388884934259
US_Stock_EOG_adj_high,-0.09492149252611161
US_Stock_DVN_adj_open,-0.09456077749395239
US_Stock_KMI_adj_open,-0.0938065638709461
US_Stock_KMI_adj_high,-0.09303211689271029
US_Stock_HES_adj_high,-0.0928251812395195
US_Stock_SLB_adj_volume,0.09273040904492749
US_Stock_KMI_adj_low,-0.09255008848003919
US_Stock_HES_adj_close,-0.09246699203120236
US_Stock_HES_adj_open,-0.0923245792496265
US_Stock_DVN_adj_close,-0.09227426177011812
US_Stock_DVN_adj_high,-0.09220656776628205
US_Stock_HES_adj_low,-0.09218223788455934
US_Stock_KMI_adj_close,-0.09164806312772968
US_Stock_COP_adj_high,-0.09148640079522455
US_Stock_COP_adj_open,-0.09116420336540491
US_Stock_COP_adj_close,-0.09020603732288969
US_Stock_COP_adj_low,-0.09002995413608877
US_Stock_OKE_adj_volume,0.0895750707532331
US_Stock_MBB_adj_high,0.08856385755437293
FX_EURAUD,0.08856015605063315
US_Stock_MBB_adj_close,0.08847342052787874
US_Stock_MBB_adj_low,0.08775021583043896
US_Stock_MBB_adj_open,0.08686874983573506
FX_NOKEUR,-0.0858992757499323
US_Stock_XLE_adj_open,-0.08433660393080267
US_Stock_VGIT_adj_high,0.08431035257521857
US_Stock_VGIT_adj_close,0.08407369438708406
US_Stock_XLE_adj_low,-0.08400853295105
US_Stock_XLE_adj_high,-0.08379763621099787
US_Stock_OKE_adj_open,-0.08367866109661744
US_Stock_VGIT_adj_low,0.08352936639553647
US_Stock_XLE_adj_close,-0.08327219738623737
US_Stock_OKE_adj_high,-0.08324507846487399
US_Stock_VGIT_adj_open,0.08308144150895597
JPX_Gold_Standard_Futures_open_interest,-0.08283747414919826
US_Stock_OKE_adj_low,-0.08221795470645274
US_Stock_BP_adj_volume,0.08141420478437661
US_Stock_OKE_adj_close,-0.08129114513886446
US_Stock_XOM_adj_low,-0.0811022802955123
US_Stock_XOM_adj_open,-0.08105006513601465
US_Stock_XOM_adj_high,-0.08040811529766366
US_Stock_XOM_adj_close,-0.08038876399930626
US_Stock_SHEL_adj_open,-0.07719632665208241
US_Stock_IEF_adj_high,0.07656965922521317
US_Stock_EOG_adj_volume,0.0763947876194922
US_Stock_IEF_adj_close,0.07622280881136984
US_Stock_SHEL_adj_high,-0.07616295702135348
US_Stock_IEF_adj_low,0.07610446578987723
US_Stock_BND_adj_low,0.07583629881052564
US_Stock_SHEL_adj_low,-0.07571011557294274
US_Stock_AGG_adj_close,0.07557615014693508
US_Stock_IEF_adj_open,0.07529104287073862
US_Stock_SHEL_adj_close,-0.07505013726171714
US_Stock_BND_adj_close,0.07488967700163017
US_Stock_AGG_adj_low,0.07482160874601022
US_Stock_BNDX_adj_high,0.07478678024685867
US_Stock_AGG_adj_high,0.07464699104694203
US_Stock_BNDX_adj_close,0.07435265002707628
US_Stock_BND_adj_high,0.07385580016213102
JPX_Gold_Mini_Futures_open_interest,-0.07358525028023533
FX_NOKGBP,-0.07337336662115435
US_Stock_BNDX_adj_open,0.07336639321829018
US_Stock_BND_adj_open,0.07330088388404413
US_Stock_BNDX_adj_low,0.07323377914407192
US_Stock_AGG_adj_open,0.07287182995146345
US_Stock_EWZ_adj_low,-0.07094186100577068
US_Stock_EWZ_adj_high,-0.07092598073033096
US_Stock_EWZ_adj_open,-0.07076539454291395
US_Stock_EWZ_adj_close,-0.06972300840722583
US_Stock_TRGP_adj_volume,0.06945226845649544
US_Stock_SHY_adj_high,0.06935373475650976
US_Stock_LYB_adj_low,-0.06924831651509437
US_Stock_VGSH_adj_low,0.06894414170784816
US_Stock_VGSH_adj_high,0.06885729338856895
US_Stock_SHY_adj_open,0.06876929515932403
US_Stock_VGSH_adj_open,0.06869383529964147
JPX_Gold_Rolling-Spot_Futures_open_interest,-0.06859439783166661
US_Stock_LYB_adj_close,-0.0685472487518319
US_Stock_TECK_adj_open,-0.06852713462640134
US_Stock_IAU_adj_volume,0.06844124248501825
US_Stock_ALB_adj_open,-0.06814964137360299
US_Stock_LYB_adj_open,-0.06811146609656894
US_Stock_SHY_adj_close,0.06810394616677212
US_Stock_TECK_adj_low,-0.06807638828286548
US_Stock_TECK_adj_high,-0.0680267654098507
US_Stock_VGSH_adj_close,0.06790706104531778
US_Stock_TECK_adj_close,-0.06790568937396146
US_Stock_HES_adj_volume,0.06785017132591403
US_Stock_LYB_adj_high,-0.06782322017931008
US_Stock_SHY_adj_low,0.06781577955554226
US_Stock_XOM_adj_volume,0.06769560491426253
US_Stock_FCX_adj_volume,0.06766235961203917
US_Stock_ALB_adj_low,-0.06750835142955265
US_Stock_ALB_adj_high,-0.06709581501586726
US_Stock_BSV_adj_high,0.06694587354697265
US_Stock_ALB_adj_close,-0.06673030852814889
US_Stock_BSV_adj_close,0.06597250789238761
US_Stock_BSV_adj_open,0.0655280012103664
US_Stock_BSV_adj_low,0.06517470236627389
US_Stock_SPYV_adj_volume,0.0645019717773206
FX_CADJPY,-0.0644784112129991
US_Stock_NUE_adj_high,-0.06430543180685763
US_Stock_NUE_adj_open,-0.06430026713253541
US_Stock_TD_adj_open,-0.06427652671949174
US_Stock_TD_adj_low,-0.06396257618438085
US_Stock_NUE_adj_low,-0.06365409226612971
US_Stock_CVE_adj_volume,0.0633844223681504
US_Stock_MPC_adj_low,-0.0630997646924303
US_Stock_TD_adj_high,-0.06306379042187496
US_Stock_MPC_adj_open,-0.06301054356734062
US_Stock_NUE_adj_close,-0.06273056784018947
US_Stock_DE_adj_open,-0.06264378023749725
US_Stock_TRGP_adj_high,-0.06228973749039667
US_Stock_MPC_adj_close,-0.06218707130845739
US_Stock_MPC_adj_high,-0.061933878531805625
US_Stock_TD_adj_close,-0.06179776956810495
US_Stock_FCX_adj_high,-0.06177711514089058
US_Stock_TRGP_adj_open,-0.061774416295646416
US_Stock_FCX_adj_low,-0.06134469990426736
US_Stock_DE_adj_high,-0.06131788972614439
US_Stock_FCX_adj_open,-0.061220964745182474
US_Stock_LYB_adj_volume,0.061118024606990055
US_Stock_FCX_adj_close,-0.061113968327819054
US_Stock_TRGP_adj_close,-0.06082685787014465
US_Stock_DE_adj_low,-0.060795285292959016
US_Stock_TRGP_adj_low,-0.060592114479734206
FX_AUDJPY,-0.06032186316801238
US_Stock_CVX_adj_volume,0.060148091192572244
US_Stock_DE_adj_close,-0.059011561741882546
US_Stock_SPTL_adj_high,0.05898270658448747
US_Stock_VGLT_adj_high,0.05885171359825278
US_Stock_CLF_adj_low,-0.058782680114603955
US_Stock_CLF_adj_open,-0.05875088998954827
US_Stock_SPTL_adj_low,0.05866928660545548
FX_GBPAUD,0.05866618550384031
US_Stock_VGLT_adj_close,0.058493115933247894
LME_PB_Close,-0.0584279781152872
US_Stock_SPTL_adj_close,0.058389691495004024
US_Stock_VGLT_adj_open,0.05836478272480436
US_Stock_VGLT_adj_low,0.05836284997958701
US_Stock_SPTL_adj_open,0.05818978762647869
JPX_Platinum_Mini_Futures_Low,-0.05738903014902727
JPX_Platinum_Standard_Futures_Low,-0.05719434603277323
US_Stock_CLF_adj_close,-0.05701860195900479
FX_ZARJPY,-0.05700909435650982
US_Stock_CLF_adj_high,-0.056975192625279655
US_Stock_LQD_adj_high,0.056910237895324255
JPX_Platinum_Mini_Futures_Close,-0.05680855324355015
US_Stock_LQD_adj_close,0.056709918599083746
FX_EURNZD,0.05669752215587812
JPX_Platinum_Mini_Futures_settlement_price,-0.056505239153598515
JPX_Platinum_Standard_Futures_Close,-0.05642973502954977
JPX_Gold_Rolling-Spot_Futures_Volume,-0.05637196534669996
JPX_Platinum_Standard_Futures_open_interest,-0.05636357453775883
US_Stock_WMB_adj_volume,0.056211061800739315
US_Stock_LQD_adj_low,0.05605075520833017
JPX_Platinum_Mini_Futures_Open,-0.05604386332253181
US_Stock_LQD_adj_open,0.05571062261667254
JPX_Platinum_Mini_Futures_High,-0.055622054352834197
FX_NZDJPY,-0.05553666750654806
JPX_Platinum_Standard_Futures_Open,-0.055486393843625456
JPX_Platinum_Standard_Futures_High,-0.05544121488543317
US_Stock_VALE_adj_low,-0.05543313479697984
US_Stock_VALE_adj_open,-0.05470924204984986
US_Stock_XLE_adj_volume,0.05470669553772335
US_Stock_SPIB_adj_close,0.05450458853995508
US_Stock_SPIB_adj_high,0.05448078017032494
US_Stock_VALE_adj_close,-0.05433906442021621
US_Stock_VALE_adj_high,-0.05420501655589394
US_Stock_SPIB_adj_open,0.0541094802760208
US_Stock_VCIT_adj_high,0.054091664870909446
US_Stock_SPIB_adj_low,0.053929891389788265
US_Stock_VCIT_adj_close,0.053695077721403445
US_Stock_VCIT_adj_low,0.053334463552384886
US_Stock_VCIT_adj_open,0.05315894617117953
JPX_Platinum_Mini_Futures_open_interest,-0.053106019019573396
US_Stock_VYM_adj_open,-0.05195874902315211
US_Stock_VGK_adj_volume,0.05125815290236517
US_Stock_VYM_adj_high,-0.05101787311190976
US_Stock_KMI_adj_volume,0.05088242605822353
FX_USDJPY,-0.0502126128624103
US_Stock_VYM_adj_low,-0.04974342187246509
US_Stock_DVN_adj_volume,0.04964301900778475
US_Stock_VYM_adj_close,-0.04934683660187509
US_Stock_VTV_adj_open,-0.04888954338218245
US_Stock_VTV_adj_high,-0.04807644845566163
FX_CADCHF,-0.04774875851906763
US_Stock_VTV_adj_low,-0.046416930903174475
FX_EURUSD,0.04641222501940517
US_Stock_VXUS_adj_volume,0.04596919675182464
US_Stock_VTV_adj_close,-0.04596313057349896
US_Stock_WMB_adj_open,-0.045051527603594724
US_Stock_ENB_adj_open,-0.044589624636879294
US_Stock_RY_adj_open,-0.04440128191190347
US_Stock_VTV_adj_volume,0.04439249374132635
US_Stock_RY_adj_high,-0.04406480308487382
US_Stock_COP_adj_volume,0.043970299774186546
JPX_RSS3_Rubber_Futures_open_interest,-0.04395454829855621
US_Stock_ENB_adj_high,-0.04383526918765362
US_Stock_PAAS_adj_high,0.04380768315746924
US_Stock_WMB_adj_low,-0.04380621497568214
US_Stock_WMB_adj_high,-0.043798118092372725
US_Stock_KGC_adj_high,0.043534406431254294
FX_AUDNZD,-0.04347790602980569
US_Stock_RY_adj_low,-0.04328854989370996
US_Stock_ENB_adj_low,-0.04328317290763413
US_Stock_PAAS_adj_open,0.042943264978610236
US_Stock_RY_adj_close,-0.042630436714723344
US_Stock_SPYV_adj_open,-0.04260097799263522
US_Stock_ENB_adj_close,-0.042513713073208836
US_Stock_KGC_adj_open,0.04240279090688054
US_Stock_KGC_adj_close,0.042308469630965184
FX_GBPJPY,-0.04226221466509307
US_Stock_WMB_adj_close,-0.04219404335831796
US_Stock_ENB_adj_volume,0.04213525905873662
US_Stock_OXY_adj_volume,0.04194470482128369
US_Stock_PAAS_adj_low,0.0419223460240513
US_Stock_KGC_adj_low,0.04181150740885161
FX_GBPUSD,0.04177432600200559
US_Stock_VCSH_adj_low,0.041684735917774746
US_Stock_PAAS_adj_close,0.041651471753085596
US_Stock_SPYV_adj_high,-0.04164112676911739
US_Stock_RSP_adj_volume,0.041428656414636514
FX_NOKCHF,-0.04132382467107977
US_Stock_STLD_adj_open,-0.04127046017099255
US_Stock_SPYV_adj_low,-0.041146059716151914
US_Stock_MPC_adj_volume,0.041123471852320355
US_Stock_RY_adj_volume,0.04091459677441115
US_Stock_STLD_adj_low,-0.040715742014212755
US_Stock_SPYV_adj_close,-0.04071069308841179
US_Stock_STLD_adj_high,-0.040677890445196714
US_Stock_VCSH_adj_close,0.04051104060443485
US_Stock_EMB_adj_close,0.04038638365615305
FX_ZAREUR,-0.04037065125011503
US_Stock_VCSH_adj_open,0.040366394269593334
US_Stock_STLD_adj_close,-0.04017634905009273
JPX_Platinum_Standard_Futures_Volume,-0.04013755336780821
US_Stock_EMB_adj_low,0.04007127034904564
US_Stock_VCSH_adj_high,0.04001474268658933
US_Stock_TIP_adj_close,0.040004745549555396
US_Stock_TIP_adj_low,0.03995259097470044
US_Stock_BKR_adj_open,-0.03961448273704926
FX_EURJPY,-0.03956204210908828
JPX_Gold_Standard_Futures_Volume,-0.03947711039550256
US_Stock_BKR_adj_low,-0.03933104854044626
US_Stock_XLB_adj_open,-0.039131266212770605
US_Stock_TIP_adj_high,0.03858989196042419
US_Stock_TIP_adj_open,0.03847874061645908
US_Stock_BKR_adj_high,-0.0384178731344229
US_Stock_BKR_adj_close,-0.038383574371651824
US_Stock_EMB_adj_high,0.038372013908504525
FX_GBPNZD,0.03828680692172648
US_Stock_XLB_adj_low,-0.038266311191897565
US_Stock_XLB_adj_high,-0.03817080039126047
US_Stock_IGSB_adj_low,0.03805765997556218
US_Stock_EMB_adj_open,0.03782723081112787
US_Stock_X_adj_high,-0.0377649922261167
US_Stock_CAT_adj_open,-0.03734639496876721
US_Stock_NEM_adj_high,0.037273979383012586
US_Stock_X_adj_close,-0.0372124321252265
US_Stock_IGSB_adj_open,0.03712504874924632
US_Stock_CAT_adj_high,-0.03685701535659704
US_Stock_X_adj_open,-0.036784180188513295
US_Stock_IGSB_adj_close,0.036765804972796835
US_Stock_XLB_adj_close,-0.036630321008678746
US_Stock_RIO_adj_open,-0.036557905118338625
US_Stock_AEM_adj_high,0.0365446162251435
US_Stock_CAT_adj_low,-0.03638374247152716
US_Stock_IGSB_adj_high,0.03621476802254768
US_Stock_AEM_adj_close,0.03619518407421291
US_Stock_NEM_adj_open,0.03613281352712496
US_Stock_X_adj_low,-0.03609524225877854
US_Stock_URA_adj_low,-0.03596833876472219
US_Stock_HL_adj_volume,0.03578572516592392
US_Stock_RIO_adj_high,-0.03535607358616241
US_Stock_FXI_adj_volume,-0.03535293834456649
US_Stock_CAT_adj_close,-0.03525239639818154
US_Stock_URA_adj_open,-0.03512925134381207
US_Stock_AEM_adj_open,0.03502720764139454
US_Stock_RIO_adj_low,-0.035015365428432185
US_Stock_EFA_adj_volume,0.03474241909239398
US_Stock_RIO_adj_close,-0.03461979909551954
US_Stock_AEM_adj_low,0.03454353029648764
US_Stock_NEM_adj_close,0.034234952352287504
US_Stock_NEM_adj_low,0.034216286659711916
US_Stock_CCJ_adj_low,-0.03410592352283273
US_Stock_URA_adj_close,-0.03407390361026096
US_Stock_CCJ_adj_open,-0.03359806107245102
US_Stock_URA_adj_high,-0.033551896140364655
US_Stock_CCJ_adj_close,-0.032852418450302685
US_Stock_CCJ_adj_high,-0.03279786746060839
FX_NOKUSD,-0.032765801498286236
US_Stock_SLV_adj_volume,0.03239745164152389
US_Stock_AMP_adj_open,-0.031701799728789476
FX_CADUSD,-0.031295807331640405
US_Stock_X_adj_volume,0.03101875020436637
US_Stock_AMP_adj_high,-0.03093439804680466
FX_ZARGBP,-0.030890013650456464
US_Stock_BSV_adj_volume,-0.030700930998765363
US_Stock_TD_adj_volume,0.030543952303456082
US_Stock_AMP_adj_low,-0.03041401096399891
US_Stock_ALB_adj_volume,0.030205616047853382
US_Stock_RSP_adj_open,-0.029782893086752162
