,std
US_Stock_EEM_adj_volume,26242789.22498323
US_Stock_FXI_adj_volume,20620971.93721232
US_Stock_GDX_adj_volume,19983080.547290385
US_Stock_SLV_adj_volume,16410564.021997977
US_Stock_VALE_adj_volume,13530111.429713106
US_Stock_OXY_adj_volume,13119402.36315211
US_Stock_EFA_adj_volume,13036898.253280196
US_Stock_XLE_adj_volume,11663634.046700742
US_Stock_EWZ_adj_volume,10515857.004802495
US_Stock_CLF_adj_volume,10151471.218681071
US_Stock_XOM_adj_volume,9770037.864820894
US_Stock_LQD_adj_volume,9374769.858134013
US_Stock_X_adj_volume,8624049.158172995
US_Stock_FCX_adj_volume,8216022.642130078
US_Stock_VEA_adj_volume,7997852.243541633
US_Stock_KGC_adj_volume,7995976.845793951
US_Stock_IEMG_adj_volume,7893809.650205968
US_Stock_BCS_adj_volume,7152219.992640206
US_Stock_GDXJ_adj_volume,6818544.273772058
US_Stock_VWO_adj_volume,6688697.960571446
US_Stock_HAL_adj_volume,6599129.4857813595
US_Stock_SLB_adj_volume,6145386.009428669
US_Stock_AG_adj_volume,5811848.645648846
US_Stock_BP_adj_volume,5572214.808625121
US_Stock_KMI_adj_volume,5527825.853853116
US_Stock_HL_adj_volume,5449856.501959214
US_Stock_NEM_adj_volume,5350082.609510774
US_Stock_IAU_adj_volume,5168329.440341575
US_Stock_IEF_adj_volume,5011295.718693102
US_Stock_MS_adj_volume,4920622.1366024865
US_Stock_DVN_adj_volume,4702275.720084742
US_Stock_GLD_adj_volume,4668850.388419548
US_Stock_CVX_adj_volume,4668422.220028062
US_Stock_WMB_adj_volume,4661749.467430594
US_Stock_BKR_adj_volume,4356430.034994036
US_Stock_JNK_adj_volume,4354711.557413798
US_Stock_CVE_adj_volume,4212061.973194544
US_Stock_EWJ_adj_volume,3952821.2182133636
US_Stock_YINN_adj_volume,3942341.390348447
US_Stock_VCIT_adj_volume,3548856.808727081
US_Stock_COP_adj_volume,3546924.909630628
US_Stock_XLB_adj_volume,3465027.069848236
US_Stock_AGG_adj_volume,3295846.202965884
US_Stock_MPC_adj_volume,3281655.7917277855
US_Stock_RSP_adj_volume,3279108.7528790147
US_Stock_CCJ_adj_volume,3088917.8308805916
US_Stock_SHY_adj_volume,2957616.708783909
US_Stock_SPIB_adj_volume,2900228.511878543
US_Stock_BND_adj_volume,2891312.4115068507
US_Stock_SPTL_adj_volume,2847982.3389773923
US_Stock_VCSH_adj_volume,2822152.900971789
US_Stock_EMB_adj_volume,2741315.6976152607
US_Stock_IGSB_adj_volume,2678952.406141738
US_Stock_VGK_adj_volume,2676065.986047042
US_Stock_BSV_adj_volume,2541075.1183282915
US_Stock_ACWI_adj_volume,2479328.7721063215
US_Stock_OKE_adj_volume,2434691.533827176
US_Stock_SHEL_adj_volume,2342947.3104273314
US_Stock_ENB_adj_volume,2250712.7630872703
US_Stock_SPYV_adj_volume,2245313.676518646
US_Stock_EWT_adj_volume,2153243.151193742
US_Stock_TIP_adj_volume,2069199.4757419592
US_Stock_VGSH_adj_volume,2046814.8821180994
US_Stock_TECK_adj_volume,2037318.074178419
US_Stock_VXUS_adj_volume,1984638.5076670265
US_Stock_BNDX_adj_volume,1969860.6674163472
US_Stock_TRGP_adj_volume,1966737.5650270816
US_Stock_CAT_adj_volume,1954475.0791914905
US_Stock_PAAS_adj_volume,1939360.431714173
US_Stock_EOG_adj_volume,1910265.1309488334
US_Stock_VGIT_adj_volume,1816880.5138001589
US_Stock_EWY_adj_volume,1810900.3430068097
US_Stock_MBB_adj_volume,1569295.4398920645
US_Stock_URA_adj_volume,1537501.76906911
US_Stock_VT_adj_volume,1494921.4888160843
US_Stock_HES_adj_volume,1483377.03153821
US_Stock_VGLT_adj_volume,1466707.7883014474
US_Stock_NUGT_adj_volume,1446502.9104177929
US_Stock_STLD_adj_volume,1292464.7905109145
US_Stock_RIO_adj_volume,1286460.515950622
US_Stock_ALB_adj_volume,1270659.1811906388
US_Stock_AEM_adj_volume,1234255.0689501225
US_Stock_TD_adj_volume,1211957.372721576
US_Stock_LYB_adj_volume,1209986.837776577
US_Stock_VTV_adj_volume,1207330.4401045574
US_Stock_NUE_adj_volume,1167229.7652873304
US_Stock_WPM_adj_volume,1071648.9798266874
US_Stock_VYM_adj_volume,923196.3541483885
US_Stock_DE_adj_volume,913475.2752494483
US_Stock_RY_adj_volume,691581.1423977485
US_Stock_GOLD_adj_volume,532494.6688527566
US_Stock_SCCO_adj_volume,495650.2961996534
US_Stock_AMP_adj_volume,368767.2026830018
US_Stock_OIH_adj_volume,359677.9157662342
US_Stock_FNV_adj_volume,339044.2260236246
JPX_Gold_Rolling-Spot_Futures_open_interest,26695.83925941291
JPX_Gold_Standard_Futures_Volume,15365.060873214095
JPX_Gold_Standard_Futures_open_interest,11059.39205771685
JPX_Platinum_Standard_Futures_open_interest,6733.783468102335
JPX_Gold_Rolling-Spot_Futures_Volume,5905.448254235039
JPX_Gold_Mini_Futures_Volume,4168.402152460041
JPX_Platinum_Standard_Futures_Volume,4103.446948820671
JPX_RSS3_Rubber_Futures_open_interest,3278.6543632976272
JPX_Gold_Rolling-Spot_Futures_High,3151.02557565297
JPX_Gold_Rolling-Spot_Futures_Close,3131.9264886614674
JPX_Gold_Rolling-Spot_Futures_Open,3127.4998515430134
JPX_Gold_Rolling-Spot_Futures_Low,3104.1387928523686
JPX_Gold_Standard_Futures_High,3090.1864406901877
JPX_Gold_Mini_Futures_High,3089.2551373917263
JPX_Gold_Mini_Futures_settlement_price,3067.2501656409268
JPX_Gold_Standard_Futures_Close,3067.13220913213
JPX_Gold_Mini_Futures_Close,3066.764037795186
JPX_Gold_Standard_Futures_Open,3062.510196566512
JPX_Gold_Mini_Futures_Open,3062.2355036356967
JPX_Gold_Rolling-Spot_Futures_settlement_price,3037.024375708321
JPX_Gold_Standard_Futures_Low,3036.5985386261095
JPX_Gold_Mini_Futures_Low,3035.931824455139
JPX_Gold_Mini_Futures_open_interest,1673.5994655840357
LME_CA_Close,1523.1863350097362
JPX_RSS3_Rubber_Futures_Volume,1489.8328109438053
JPX_Platinum_Standard_Futures_High,732.3525331107313
JPX_Platinum_Mini_Futures_High,730.6617426920232
JPX_Platinum_Standard_Futures_Close,725.0918508358535
JPX_Platinum_Mini_Futures_settlement_price,725.0879345479896
JPX_Platinum_Standard_Futures_Open,723.4658050570005
JPX_Platinum_Mini_Futures_Close,723.0866097702877
JPX_Platinum_Mini_Futures_Open,721.8338896261375
JPX_Platinum_Standard_Futures_Low,716.7501508357386
JPX_Platinum_Mini_Futures_Low,714.9518803870513
JPX_Platinum_Mini_Futures_Volume,698.1892034004899
JPX_Platinum_Mini_Futures_open_interest,461.29089612417584
LME_ZS_Close,445.0096434493479
LME_AH_Close,398.5445657237933
US_Stock_YINN_adj_high,195.68579502144135
US_Stock_YINN_adj_close,192.58840049995703
US_Stock_YINN_adj_open,192.5716141238269
US_Stock_YINN_adj_low,189.07611113280822
LME_PB_Close,183.15455101621137
US_Stock_AMP_adj_high,132.18075132128203
US_Stock_AMP_adj_close,131.24150776368336
US_Stock_AMP_adj_open,131.16364950832937
US_Stock_AMP_adj_low,130.0697334641294
US_Stock_DE_adj_high,121.12406565121432
US_Stock_DE_adj_close,119.87937227353976
US_Stock_DE_adj_open,119.83552927608875
US_Stock_DE_adj_low,118.6159796137076
US_Stock_OIH_adj_high,95.44645303145157
US_Stock_OIH_adj_open,94.92509374395671
US_Stock_OIH_adj_close,94.83237024890603
US_Stock_OIH_adj_low,94.27639969838648
US_Stock_CAT_adj_high,87.68242198991027
US_Stock_CAT_adj_close,86.89766121417946
US_Stock_CAT_adj_open,86.86241011320303
US_Stock_CAT_adj_low,86.11708027448505
US_Stock_ALB_adj_high,67.25916463314311
US_Stock_ALB_adj_open,66.01428574440247
US_Stock_ALB_adj_close,65.97053638259086
US_Stock_ALB_adj_low,64.50315337370583
JPX_RSS3_Rubber_Futures_High,61.57447073180843
JPX_RSS3_Rubber_Futures_Close,60.659759688070075
JPX_RSS3_Rubber_Futures_settlement_price,60.659682053872366
JPX_RSS3_Rubber_Futures_Open,60.63321381270475
JPX_RSS3_Rubber_Futures_Low,59.75826287620936
US_Stock_TRGP_adj_high,49.284161446807936
US_Stock_MPC_adj_high,48.955300083580774
US_Stock_TRGP_adj_close,48.72468988946495
US_Stock_TRGP_adj_open,48.69216053971023
US_Stock_MPC_adj_close,48.39794661904134
US_Stock_MPC_adj_open,48.38627951795045
US_Stock_TRGP_adj_low,48.057049348334196
US_Stock_NUE_adj_high,48.02472909550545
US_Stock_MPC_adj_low,47.83910710990173
US_Stock_NUE_adj_open,47.3526819907321
US_Stock_NUE_adj_close,47.337299567900345
US_Stock_NUE_adj_low,46.71022069238931
US_Stock_GLD_adj_high,45.039664700628
US_Stock_GLD_adj_close,44.84424192994026
US_Stock_GLD_adj_open,44.813822269211755
US_Stock_GLD_adj_low,44.5409786066664
US_Stock_HES_adj_high,41.41367749482713
US_Stock_HES_adj_open,41.10904956930774
US_Stock_HES_adj_close,41.09455135665923
US_Stock_HES_adj_low,40.76771638419799
US_Stock_STLD_adj_high,40.06837724702616
