,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
LME_AH_Close_ret,0.05164199483048616,0.09819026402805668,0.0388957263197293,0.2680064351621955,-0.0724125854935869,-0.20284855023363493,-0.23135222086619459,0.05445264467388866,-0.07416786616378583,-0.24844853660892086
LME_CA_Close_ret,0.060948264388965834,0.12306882249223783,0.051682125905916365,0.26292982990157165,-0.06250357441778123,-0.23140774940470754,-0.23494275769803247,0.08651734530710983,-0.1240363040974057,-0.31513793282008973
LME_PB_Close_ret,0.056100694974214535,0.1046728654452307,0.05843248129218949,0.22930723805033604,-0.02851337965521501,-0.17301136405214382,-0.1622337168679609,0.05878718225663035,-0.22733660393590802,-0.002646130653740005
LME_ZS_Close_ret,0.06608822871777621,0.11665516177970944,0.06023883086068841,0.30038539880996107,-0.050100572524958094,-0.1974652783531834,-0.2211209313419434,0.06984931547361166,-0.11684198648665467,-0.20519877571122747
JPX_Gold_Mini_Futures_Close_ret,0.1357410944067754,0.22559047943834137,0.11169051665997963,-0.2278823721378909,0.17156131487685775,-0.222056874164033,-0.13460716281009338,-0.002317037443258736,0.15274609246383644,0.16062202273587378
JPX_Gold_Rolling-Spot_Futures_Close_ret,0.13471678611014085,0.22340588289052116,0.11139137219271719,-0.22936114768137517,0.17145142878658942,-0.21733829877968058,-0.13412095681956324,0.00096198674600501,0.1551964900553686,0.16268366516291807
JPX_Gold_Standard_Futures_Close_ret,0.13549240574872123,0.2251894095103759,0.11174754427834342,-0.2280839108777028,0.1718001933157318,-0.22230641645404278,-0.13560394958365224,-0.00267573850682096,0.153317380197552,0.16286393473591435
JPX_Platinum_Mini_Futures_Close_ret,0.12204835874637492,0.21367801723358126,0.09334540760341077,-0.12201594756406965,0.127671947130505,-0.24899203808102105,0.2868968323919023,-0.10251890312939835,-0.20917472561886916,-0.06379119805457804
JPX_Platinum_Standard_Futures_Close_ret,0.12211553899376677,0.21407674773371121,0.09372263996630219,-0.12084729543839237,0.1277101241247629,-0.25208960180410034,0.28402512307986955,-0.10098412913117023,-0.2081373593167776,-0.06490087427017566
JPX_RSS3_Rubber_Futures_Close_ret,0.049457240554840916,0.09507665413021708,0.016668873384373745,0.04235634012613281,0.010537507627707176,-0.12331608193961179,0.27281164293187216,0.26692005576117434,0.44247345870193117,-0.3727199995849704
